dataset_name,algorithm_name,cross_validation,hyper_parameters_values,accuracy,tpr,fpr,precision,auc,pr_curve,training_time,inference_time
bodyfat.csv,BoostingBasedPruning,8,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.305526257,1.845169067
bodyfat.csv,BoostingBasedPruning,9,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.29526186,1.786184311
bodyfat.csv,BoostingBasedPruning,10,"{'T': 30, 'U': 70}",1,1,0,1,1,1,0.317631245,1.884880066
braziltourism.csv,BoostingBasedPruning,1,"{'T': 130, 'U': 90}",0.738095238,0.738095238,0.06547619,0.738095238,0.906604308,0.742554663,53.63497019,114.5487172
braziltourism.csv,BoostingBasedPruning,2,"{'T': 130, 'U': 90}",0.785714286,0.785714286,0.053571429,0.785714286,0.917639579,0.748207211,45.52271438,95.15109516
braziltourism.csv,BoostingBasedPruning,3,"{'T': 130, 'U': 90}",0.756097561,0.756097561,0.081300813,0.756097561,0.89981162,0.644061453,53.3155427,112.1289381
braziltourism.csv,BoostingBasedPruning,4,"{'T': 130, 'U': 90}",0.731707317,0.731707317,0.089430894,0.731707317,0.91969066,0.71149102,53.49071693,115.1200155
braziltourism.csv,BoostingBasedPruning,5,"{'T': 130, 'U': 90}",0.829268293,0.829268293,0.056910569,0.829268293,0.949732302,0.801205238,53.2571125,113.0532928
braziltourism.csv,BoostingBasedPruning,6,"{'T': 130, 'U': 90}",0.804878049,0.804878049,0.048780488,0.804878049,0.950624628,0.863159296,53.40650821,115.1605641
braziltourism.csv,BoostingBasedPruning,7,"{'T': 130, 'U': 90}",0.780487805,0.780487805,0.073170732,0.780487805,0.959002578,0.811653658,53.60861611,111.9870616
braziltourism.csv,BoostingBasedPruning,8,"{'T': 130, 'U': 90}",0.804878049,0.804878049,0.06504065,0.804878049,0.942544121,0.852560057,53.7908895,112.7540891
braziltourism.csv,BoostingBasedPruning,9,"{'T': 130, 'U': 90}",0.707317073,0.707317073,0.073170732,0.707317073,0.947451914,0.799372672,54.87955618,113.788314
